text,sentiment
Rainy day is rainy.,neutral
Home from Whitney`s. No sleep. Church in a bit. Dangggg....I`m tired. But it was worth it,neutral
"and it`s off to work I go, only 9.5 days until the kiddo`s finish",neutral
STEP 1: be a photoshop expert  http://plurk.com/p/ros47,neutral
Im.in.the.room Im.watching.the.HANNAHmovie.withMOM.She.said.this.film.very.great.,positive
my body isnt itching anymore,positive
going away party at ambers  road trip tomorrow!,neutral
oh men!!!!!!......I really can`t see my face........c`mon guys!!!,neutral
 what about me  I miss you too!,negative
there`s a guy in my house so i can`t go downstairs with no pants,neutral
 that makes me sad for you,negative
waking up at 6 am? yuuup. still going out tonight? you better believe it.,positive
Happy Christmas! No wait... What is it again happy M...........easels day. No but seriously.... Happy Mothers day...  lmao,positive
"UGGG my computer is running SOOO SLOW today, it`s driving me batty! Guess its time to remove files and defrag AGAIN UGG want a MAC",negative
 I really don`t want to send it over this site....it`s kinds private...,neutral
Wild Oats Pinot Grigio = v easy to drink,positive
"Back on track with the transcription process. Still can`t stop my lappy overheating, though",negative
The morning forcast on the radio was partly to mostly cloudy -yay vog-  stay inside and have a HAPPY FRIDAY,positive
_xo they were so pretty and took like an hour to do  CAN I DO URSSSSS!,positive
 keep telling yourself you`ll feel better by doing it and tomorrow can be a lazy day... it is Sunfay afterall  (Excuses.),positive
Dont worry babe,positive
"Is at Panera eating a bacon, egg and cheese with a coffee!  http://twitpic.com/4jip9",neutral
My purple pusrse is pretty  someone tell Katie Holmes!,positive
 I`ve missed one this year(!). It`s the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.,negative
"so, why the hell are we going to school for 2 hours next monday and tuesday...dumb snow days and thier lame rules...my mom making me go",negative
" ahh, that would be a good reason.. Heh hope that goes well hun",positive
"_Kaufer You cant argue w/them, as they actually have zero things to complain about so they make stuff up",positive
Hey hey get tickets to ALL TIME LOW when they`re in Aussie kay. www.myspace.com/destroyalllines Yup. Go there get tickets,neutral
is sad that today is her last day in san diego,negative
check out this funny movie  http://tinyurl.com/d3qwar,positive
 Ten bucks says I know where your going and if it`s where I think it is....let me know if my boulder is still on the beach.,neutral
OMG I FINISHED MY HISTORY CHILDRENS BOOK!!!! JUST NEED 2 MAKE IT PRETTY AND PRINT IT OFF AND IM DONE!!! WHOO!!!,neutral
"Ugh im so tired and i hardly did anything but play with my niece, Im goin to bed Goodnight eveyone! <3",neutral
 gut,neutral
" -- No fair, I want a sticker but I just moved away from London",negative
" --of them kinda turns me off of it all.  And then I buy more of them and dig a deeper hole, etc. ;;",negative
"If anyone has a dreamwidth spare invite code lying around, could you please spare me one? Pretty please?",neutral
 hmmm...the one restaurant/one grocery is sad. not the dukbolgi.,negative
: Am getting upset listening to the say now  I want to speak to you Mitchel but my darn phone got no money on x,negative
sorry dunners just saw your tweet! totally let you down im so sorry babe  was at work till 8.30 very boooooo,negative
okay the new jonas episode was awesome,positive
" I didn`t like the new Terminator movie, man",negative
I`m Having a Baby Girl! (In the next 17 Days!) I think I`m gonna keep this handy  http://budurl.com/f9p5 Funny Stuff!,neutral
 The one and the same! Should be a good gig,positive
 Yes...met Jon last yr at an interesting 'Questionning Agile' Agile 2008 session.  Don`t see him on this yr`s schedule.,positive
doesn`t want to go to work....,negative
Good morning!,positive
Head is throbbing from lack of sleep and still have mucho work. Doesn`t feel like a Friday,negative
"wow this morning 8.15 hrs ding dong breakfastservice, was a surprise of Marjoleine, Guido and Dirk for mothersday.Mother hapy, father too",positive
"Out if class!! Yow party + four hour lecture don`t mix attal!! I had to drink 3 red bulls & I`m still sleepy .,,,,smh! Alrite bedtime",neutral
Zac Brown is in Virginia Beach and I`ll be in NoVA,neutral
 whats up rick??,neutral
I miss you sweetie!,negative
 Hello  ...hehe yup we sure do ...lovely to `see` you ****,positive
This weekend is going to be packed full of work for school  No life this summer I`m afraid.,negative
_d awww glad to know Little Sweet D and Leigh are doing good...thanks for the updates Howie,positive
i`ve just woken up,neutral
 i agree,positive
 Cheers *lifts coffee cup* here here for Mondays,positive
rainy season-- here it comes!,neutral
i really should be in a bad mood. but.,neutral
 no sorry twitter sucks balls since the replys change  #fixreplies,negative
Welcome new followers also,neutral
"So much happier, despite my looming departure",positive
 There!,neutral
 my internet just crashed  i will ttytomorrow.,negative
Just got finished cleaning and putting out my mom`s presents.  Happy mother`s day. I`m going to sleeeeep.,positive
`Look at the tadpole`... `No! ... Look at me!!!` ... Foolish dog  http://yfrog.com/05ixbj,negative
 just going through some of his tracks in iTunes and buying his awesome tracks I don`t have. Loving it,positive
I am the queen of losing things. Important things like keycards and bus passes.,neutral
 Me too.  Wonder if Mnet will show it...,neutral
is lonely in need of company,negative
" Adem in, adem uit",neutral
shouldn`t have stayed up til almost 2 reading 'rules' but i did. such a good book. totally worth the sleep deprivation.,positive
um... so I don`t think my text msgs have a 'subject line' ... I fail,negative
"nvm, lexi`s playlist is working its magic",positive
"  I`ve already done my washing, I have a spring in my step this morning",neutral
i had navy blue under my black nailpolish for a while and i think it stained my nails a little..,neutral
"i really really hate biology , u______________________u",negative
ahhhh now i have no pic,neutral
 a celtics-lakers rematch sounds better don`t you think? lol,positive
My parents wachting tv but it is terrible and there is nothing else  me so sad,negative
   Hey Honey  Bunny here  big bunny hugs,positive
"Stupid me, accidentally gave my honey the Atomic flavored buffalo wings and now his stomach feels just awful..... Im sorry baby",negative
Peeps! Me blackberry messenger is kwijt..  no pinging :p,neutral
"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can`t find any other shoes!",negative
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive
 Yeah *fingers crossed*,neutral
HAPPY MOTHER DAY TO ALL THE MOTHER`S IN THE ENTIRE WORLD WE DESERVED A DAY JUST FOR US RIGHT...,positive
 OMG that is AWFUL! $12k??? Wow     Our pyr figured out how to open a doorknobs one day by crushing them in her jaws and,negative
" yeah, I have revision to do, but gonna go starbucks instead",neutral
can u believe the architect who planned a tar-black promenade in this small town won an international prize?and everyone who walks & jogs,positive
 I do have one coloured one on my leg.  Its a butterfly filled with colour!  x,neutral
"Looks like rain again  Oh well, it will give me a chance to work on a new crochet pattern I have in the works.",positive
" Amadeus is the best Mozart movie. I got kicked out of high school chorus, missed a trip to Hawaii.",neutral
coming back drom camp!!! there was no cell fone reception =0 so im so happy were back in QLD and a little bit tired,positive
" Me too,but i`m goitn to go to shower!And cleanin` up my room and later eat somethin`",neutral
" Wish could, but riding a tour from Chicago back to Iowa.",neutral
Bottle of reisling this time... My favorite!,positive
":o Wow only just found out new xbox is called xbox720 , how did i not no im a geek ...",neutral
 britain is ****,negative
 SWEEEEET - San Fran is awesome!!!!  Love it there,positive
 Thats actually not that fun as you would think... I was hurting for a week after a similar experience.,negative
 Can`t you guys do something on CO-OP about Grim Fandango? Don`t you wanna see it on XBLA/PSN? Call Tony Plana!  Call Tim!!,neutral
Round and Round the Garden: The amazing thing is that he`s still talking to me!  http://tinyurl.com/dx8as4,positive
 ahhahahaha ARIYAN  i want to listen to that now  i used up bandwidth by downloading a hamish and andy podcast,neutral
 Little Louisa is number 3 trying to get number one!  ****,neutral
" no, def rubbish tonight",negative
 YAY YOU! So proud of you!  and I`m not even being sarcastic. Even though you told me to shut the **** up.,neutral
 We said anyone could 'write one'...those special 10 selected are - of course - chosen because they are OUTSTANDING!,positive
Going to bed. Hung out w. Aaron and Robin then took Aaron to Sunnys.,neutral
_miacherry morning kik enjoy your breakfast,positive
Weekend looks sloppy  Looking forward to a great week with great customers!,positive
Yah! Feeling better and had a beaut day - Sophie razzing it at the skateboard park (at all of 3 yrs) and Charli happy at school,positive
_G  ur a poopy head,negative
  anytime..  Why ya gonna be up so late?,neutral
I am sad that my kids were ungrateful today,negative
  I love your tweets... Your sweet,positive
 Hehe,positive
**** night. want john  where is he?,negative
" I know. I want it to come bec I`m excited, but then I don`t bec it`s gonna go by so fast & then it will be over",positive
 ooo and good luck for dundee tonight i can`t be there cos i have a ton of uni work,positive
 - Does the 1st show count? That would be the midnight show Thurs night/Fri morning,neutral
 hahahah lols you have fun with that aye  i had the div too ) the experience but i love my spongebob ) (L),positive
More sunburn,negative
" Peace Bro, thanks for not just the music, but proudly representing as a father all over - Happy Mother`s Day",positive
Is hungry with a sub,neutral
In denial about the moving van parked a few blocks away.,negative
I wish I could go to the Love Music Hate Racism gig this weekend   I`m not in the right part of the world even,negative
Oh why do I keep stumbling about deathfic WITHOUT WARNINGS. do not want,negative
posting my first tweet!!,neutral
  i can`t vote for  her i`m #frustraded  :@,negative
Home. Got some nice plugs but no chipotle,neutral
 I forget you`re from Venezuela! Talking with you is like with my classmates.,neutral
 This was funny! I have 7.,positive
I`m exhausted  new song 'one day' on myspace check out http://www.myspace.com/tannajoy,negative
 so glad i did not say hi to last night... i dont want the flu... but sry if you really do have it,neutral
" OH WAIT, I read that wrong. OK hellboy",neutral
_carter  Ey boy!! I canï¿½t see the video because youtube says me :The vid is private. Why?  I want to see it. Besos grandes guapo!!,neutral
" :O goodness, i havn`t heard it. i lovelovelove her old stuff though, the overture the underscore is the best album i think",positive
Is heading to work n its freezing!,negative
 Saw you on SNL with your diploma..Congrats. You must be overjoyed.   Now I am finally going to bed..NITE,positive
 - for all dad is doing like this to his son/daughter love,positive
Not eating funnel cake at Mag Fest is what I am doing,neutral
but i thought `summer hours` meant i was supposed to get to go home at 4.....,neutral
looking for models for beauty shoot THIS THURSDAY in the Valley studio  contact me if interested!,neutral
" Isn`t he awesome?? There are tons more coming, that was just one of three locations",neutral
Headed to drop my lil cuz off at the bus stop! Then its back to the bed to read my book!  relaXin on my day off.,positive
Placed a $2 bet on a sure thing and lost.  no more betting for me!,negative
What a gorgeous day!! And I`m going to be stuck in a lab for the next 9 hours or so,positive
"I got a text from this guy who I don`t like, and who has the same name as the guy I do! How disapointing!",negative
 I know I enjoy watching you two on twitter. About as entertaining as the comic.  That I miss,positive
 live live or leaked live? If it`s live properly I may just role outta bed and download it,neutral
why the hell is youtube not working???  NO NO  NO NO   NO  NO NO NNO NO,negative
8 month old African grey parrot  sad sale - Reptile Forums UK http://bit.ly/grrdA,negative
 I`m praying for you and your family beav! I`m so sorry for your loss,negative
 Well I live in Ohio  but here`s our California parks: http://tinyurl.com/nmr7pc,neutral
 I loved it! You guys are amazing!,positive
#vwll2009 Would one of the VWLLers want to add this event to our Ning?   http://bit.ly/BF5sh  Would much appreciate that,positive
 the closest is a good two hours,neutral
Everyone on the eastcoast... the rain hates us  let`s just all fly to Cali. LOL,negative
":O Job interview today, i`m really gonna mess this uuuup",negative
Instant Internet Marketing EMPIRE! + *BONUS* recoup your investment in 24 hours or less  http://megaredpacket.com/?aff_id=7891,neutral
They just admitted my grandma to the hospital... Shes my only last one  please pray for her,negative
" juice! I miss juice, any fruit",negative
 Socksy`s just plucky and independent to Caspar`s lazy and attention seeking,negative
"Hey , I bet you and your tweeps have lots of mother wisdom to share.",positive
" - Yes, you are addicted - half my twitter friend updates are yours",neutral
 whyyyy hellloooo! Thx 4 checkin up on me  how r things? http://myloc.me/G4p,neutral
  be sure to go by my blog today    -  and check out your friends - I bet you have some new ones today!,neutral
Got 5 new followers yesterday! Yay  Just need 11 more til 50,positive
My besties. If only  was there.  on Twitpic: http://twitpic.com/67hac - My besties. If only  .. http://twitpic.com/67hac,neutral
wanted to go to the club...dancing;)..but now iï¿½m tired anyways i have to go to work tomorrow!,negative
 sorryyy milerz that i can`t vote i would love to vote but it doesn`t works i`m sad  and very frustraded  :@ :@ --__--,negative
 Why no sn... o. yeah... Sad day.....,negative
 ze Franz has not friended me  i think they think i`m a creepy stalker or sommat. Hmph.,negative
 So sad that schools have to close.,negative
Another day @ Casino de Montreal,neutral
Sitting outside with my laptop  Its kinda nice,positive
"_Kill_Boy oh sorry! not getting all my replies  nothing against you. and yes, i do know nirvana",negative
Work is a no go,neutral
"Just to drive  crazy, I miss the big blue selected tweet highlight. I can`t tell which tweet is selected anymore",negative
is traumatized and saddened by the 2 baby squirells she just found on abandoned on the sidewalk.,negative
Being slammed with spam followers today. Is it just me? Or is that all I can attract.  Get a life people.,negative
" thanks, Mandy!  What a good sister you are.  That may be true, but unfortunately my road tires can`t say the same.",positive
Whatever. Workweek`s over. Time to go play with new phone. Sim card didn`t transfer contacts list,neutral
    _Geronimo    Thanks for sharing with your friends!,positive
 awwww how cute its a pUG,positive
No Yonkers news posts until June 2 because the newspaper furloughed me,neutral
" Sorry to hear that, dude",negative
that`s two and a half hours completed now. chillaxing until half 2,neutral
Just sittin here waitin for my coffee to be full grown on farm town before going to bed,neutral
Tired of hearing stories about everybody going to Ibiza...,negative
Watching the kids eating an ice cream.,neutral
 Evening  Yorkshire`s warm but overcast. How`s NZ? Don`t tell me - dark lol,neutral
"Im going to go to bed again, ear (both) infection, I am completely dizzy, yyyyuck! My stomach is hurting too  Peace-out loves",negative
Why is  scared or  lmao.. Someone pls tell me!!,negative
Happy Mothers Day Everybody!!!!!!,positive
have no line bi-focals for over 3 yrs now. End up taking glasses off to read close up.,neutral
